"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"93",186,"PHGDH","PE",-0.9620424,0.0054918,"no hit"
"94",188,"EIF4G2","PE",-1.4050036,0.0005427,"no hit"
"95",190,"PGM1","PE",-1.2298332,0.0070886,"no hit"
"96",192,"S100A4","PE",-1.5897264,0.0011082,"no hit"
"97",194,"DPP3","PE",-0.8187028,0.0456998,"no hit"
"98",196,"RABGGTB","PE",-1.3531511,0.0028302,"no hit"
"99",198,"API5","PE",-0.5529997,0.0977886,"no hit"
"100",200,"PPIB","PE",1.2116555,0.0005179,"enriched hit"
"101",202,"CANX","PE",0.9614163,0.0023895,"enriched candidate"
"102",204,"YWHAZ","PE",-1.3062261,0.000597,"no hit"
"103",206,"SFN","PE",-1.3210768,0.0025308,"no hit"
"104",208,"NARS","PE",-1.2664898,0.0038066,"no hit"
"105",210,"IPO7","PE",-1.0718186,0.0100435,"no hit"
"106",212,"CRTAP","PE",1.1324719,0.0007623,"enriched hit"
"107",214,"PRRC1","PE",-0.9514735,0.0059171,"no hit"
"108",216,"GNAQ","PE",0.6472779,0.0182277,"enriched candidate"
"109",218,"TAGLN2","PE",-1.1475567,0.0012577,"no hit"
"110",220,"SRM","PE",-1.0658276,0.006778,"no hit"
"111",222,"LTA4H","PE",-0.8715713,0.0371187,"no hit"
"112",224,"HARS","PE",-1.033696,0.0025679,"no hit"
"113",226,"CAND1","PE",-0.3867741,0.2612188,"no hit"
"114",228,"FDPS","PE",-1.1397483,0.0087567,"no hit"
"115",230,"GSTK1","PE",1.3693811,0.0006165,"enriched hit"
"116",232,"ETFB","PE",1.8921709,0.0001281,"enriched hit"
"117",234,"LY6K","PE",1.2372256,0.0008218,"enriched hit"
"118",236,"NOMO1|NOMO3|NOMO2","PE",1.3588072,0.001173,"enriched hit"
"119",238,"BASP1","PE",2.4353819,0.004132,"enriched hit"
"120",240,"PRKCSH","PE",0.2732514,0.3087731,"no hit"
"121",242,"GANAB","PE",0.9974384,0.0018765,"enriched candidate"
"122",244,"COX4I1","PE",1.3284838,0.0022412,"enriched hit"
"123",246,"EIF4B","PE",-2.0360043,0.0048674,"no hit"
"124",248,"PLS3","PE",0.6701795,0.0199473,"enriched candidate"
"125",250,"HSPA9","PE",1.9695718,0.0004665,"enriched hit"
"126",252,"CD44","PE",0.7995567,0.0119663,"enriched candidate"
"127",254,"SLC25A5","PE",1.9265948,0.0001863,"enriched hit"
"128",256,"LDHA","PE",-1.1451179,0.013886,"no hit"
"129",258,"CYP51A1","PE",1.037972,0.0010615,"enriched hit"
"130",260,"BST2","PE",-0.8496488,0.0013782,"no hit"
"131",262,"SERPINB5","PE",-1.3448798,0.010015,"no hit"
"132",264,"RDH11","PE",1.1454376,0.0076554,"enriched hit"
"133",266,"STEAP4","PE",0.7080156,0.0167519,"enriched candidate"
"134",268,"RAB35","PE",1.3126777,0.0032748,"enriched hit"
"135",270,"NUDT5","PE",-1.1996755,0.0173414,"no hit"
"136",272,"HPD","PE",-1.1001446,0.0031206,"no hit"
"137",274,"FH","PE",1.9067402,0.0002889,"enriched hit"
"138",276,"STX4","PE",1.1191094,0.0248381,"enriched candidate"
"139",278,"PPP2CA","PE",-0.5655153,0.0285701,"no hit"
"140",280,"CMBL","PE",-1.0986435,0.0033027,"no hit"
"141",282,"AXL","PE",0.711685,0.013998,"enriched candidate"
"142",284,"RAB18","PE",-0.6559605,0.0201149,"no hit"
"143",286,"NUTF2","PE",-0.9661471,0.0114805,"no hit"
"144",288,"LDHB","PE",-1.2577723,0.0086771,"no hit"
"145",290,"ABHD14B","PE",-0.8629057,0.0198159,"no hit"
"146",292,"GSTO1","PE",-1.6603257,0.0090753,"no hit"
"147",294,"SCCPDH","PE",1.0578445,0.0029388,"enriched hit"
"148",296,"GDI2","PE",-0.6372051,0.0359314,"no hit"
"149",298,"PNP","PE",-1.0972216,0.0054741,"no hit"
"150",300,"PRSS21","PE",0.9508782,0.0032925,"enriched candidate"
"151",302,"ANP32B","PE",-1.4036057,0.0221968,"no hit"
"152",304,"SLC25A6","PE",1.7670341,0.0016322,"enriched hit"
"153",306,"CPS1","PE",1.6495991,0.0009057,"enriched hit"
"154",308,"ANP32A","PE",-1.0616081,0.0413937,"no hit"
"155",310,"AIFM1","PE",1.7119607,0.0008197,"enriched hit"
"156",312,"TXN","PE",-1.040575,0.0107042,"no hit"
"157",314,"YWHAB","PE",-1.1334477,0.005492,"no hit"
"158",316,"PDHB","PE",1.7764359,0.0007183,"enriched hit"
"159",318,"PTGES","PE",0.5596113,0.0138701,"no hit"
"160",320,"PTPRJ","PE",0.5901194,0.0262311,"enriched candidate"
"161",322,"CLPTM1L","PE",1.5259723,0.0019886,"enriched hit"
"162",324,"SCAMP3","PE",-0.7810753,0.0116302,"no hit"
"163",326,"CLIC4","PE",0.27355,0.1415954,"no hit"
"164",328,"PPP2R1A","PE",-0.7913703,0.0488287,"no hit"
"165",330,"KRAS","PE",0.5669426,0.0833111,"no hit"
"166",332,"ATP5F1","PE",1.2246776,0.0020778,"enriched hit"
"167",334,"CLTA","PE",-1.0333273,0.0085783,"no hit"
"168",336,"ACAT1","PE",1.6812198,0.0011031,"enriched hit"
"169",338,"ATP5C1","PE",1.8541359,0.0012522,"enriched hit"
"170",340,"TRAP1","PE",1.7001014,0.0035008,"enriched hit"
"171",342,"CD46","PE",0.2873589,0.2367035,"no hit"
"172",344,"UBA1","PE",-0.9717312,0.0135212,"no hit"
"173",346,"PSME3","PE",-0.8403125,0.0163339,"no hit"
"174",348,"UQCRC2","PE",1.2745486,0.00607,"enriched hit"
"175",350,"PLIN3","PE",-1.3996025,0.0052927,"no hit"
"176",352,"ADPGK","PE",0.5923353,0.0074157,"enriched candidate"
"177",354,"YBX1","PE",-1.5395923,0.0582983,"no hit"
"178",356,"ICAM1","PE",0.6189284,0.0465526,"enriched candidate"
"179",358,"TUBB4B","PE",-0.6738949,0.0354415,"no hit"
"180",360,"APOL2","PE",0.8687097,0.0178734,"enriched candidate"
"181",362,"SAR1A","PE",-0.5664139,0.0925463,"no hit"
"182",364,"YWHAE","PE",-0.9455276,0.0089787,"no hit"
"183",366,"ACTC1|ACTA1","PE",1.1429917,0.0041133,"enriched hit"
"184",368,"SSR4","PE",0.7930475,0.0059367,"enriched candidate"
"185",370,"GPI","PE",-0.4952956,0.158271,"no hit"
"186",372,"ABCG2","PE",1.3966358,0.0201581,"enriched candidate"
"187",374,"CALM1","PE",0.5945353,0.0915021,"no hit"
"188",376,"IGSF8","PE",0.7600261,0.0496476,"enriched candidate"
"189",378,"PGD","PE",-0.7006273,0.0815206,"no hit"
"190",380,"CD58","PE",0.6673019,0.068949,"enriched candidate"
"191",382,"SERPINB6","PE",-1.0582488,0.0061664,"no hit"
"192",384,"PGAM1","PE",-1.0660334,0.0297145,"no hit"
"193",386,"HSD17B4","PE",1.1843335,0.001297,"enriched hit"
"194",388,"PLXNB2","PE",0.6764503,0.01302,"enriched candidate"
"195",390,"ATP5O","PE",1.6234003,0.0011672,"enriched hit"
"196",392,"GLUD1","PE",1.4708045,0.0109963,"enriched candidate"
"197",394,"SRPRA","PE",0.8844125,0.0329737,"enriched candidate"
"198",396,"CACYBP","PE",-0.9174785,0.0287563,"no hit"
"199",398,"TFG","PE",-1.1206098,0.0402656,"no hit"
"200",400,"BTF3","PE",-1.7200158,0.006574,"no hit"
"201",402,"ZNF598","PE",-0.9992775,0.0111141,"no hit"
