"","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"441","MYL6","PA",0.5961698,0.0457694,"enriched candidate"
"442","MYL6","PE",0.5520476,0.0623811,"no hit"
"443","PUF60","PA",-0.4712617,0.0460849,"no hit"
"444","PUF60","PE",-0.420779,0.0718511,"no hit"
"445","RDX","PA",1.3039637,0.0461561,"enriched candidate"
"446","RDX","PE",1.1493159,0.0753589,"enriched candidate"
"447","GNG12","PA",0.5021224,0.0462213,"no hit"
"448","GNG12","PE",0.2823064,0.2445786,"no hit"
"449","ATP5A1","PA",0.8481773,0.0485491,"no hit"
"450","ATP5A1","PE",1.6104386,0.0007948,"enriched hit"
"451","RAP1A","PA",0.5320556,0.0490914,"no hit"
"452","RAP1A","PE",0.7579538,0.0075436,"enriched candidate"
"453","AGL","PA",-1.0040286,0.0494766,"no hit"
"454","AGL","PE",-1.202955,0.0212008,"no hit"
"455","SKP1","PA",-0.7393452,0.049882,"no hit"
"456","SKP1","PE",-0.8009505,0.0351854,"no hit"
"457","GLOD4","PA",-0.8477743,0.0500377,"no hit"
"458","GLOD4","PE",-0.9762664,0.0263486,"no hit"
"459","TXNRD1","PA",-0.6101066,0.0505713,"no hit"
"460","TXNRD1","PE",-0.6128501,0.0496451,"no hit"
"461","RPN2","PA",0.7968537,0.0507365,"no hit"
"462","RPN2","PE",1.3097488,0.0028882,"enriched hit"
"463","PPP1CA","PA",0.4903157,0.0512769,"no hit"
"464","PPP1CA","PE",0.3873057,0.1165183,"no hit"
"465","HSPH1","PA",-0.5318265,0.053184,"no hit"
"466","HSPH1","PE",-0.4065802,0.1311818,"no hit"
"467","SLC25A24","PA",0.9698108,0.053595,"no hit"
"468","SLC25A24","PE",1.1350588,0.0264327,"enriched candidate"
"469","KPNB1","PA",-0.6698115,0.053899,"no hit"
"470","KPNB1","PE",-0.6399123,0.064389,"no hit"
"471","TM9SF2","PA",-0.9274344,0.0541365,"no hit"
"472","TM9SF2","PE",-1.0517459,0.0312049,"no hit"
"473","HSPA4","PA",-0.7347511,0.0542675,"no hit"
"474","HSPA4","PE",-0.4536348,0.2200571,"no hit"
"475","ITGA6","PA",0.616065,0.0546545,"no hit"
"476","ITGA6","PE",0.5598786,0.0781872,"no hit"
"477","DHCR7","PA",0.8628836,0.0555554,"no hit"
"478","DHCR7","PE",1.1478017,0.0139149,"enriched candidate"
"479","BPNT1","PA",-0.5667511,0.0562577,"no hit"
"480","BPNT1","PE",-0.5567825,0.0603012,"no hit"
"481","YWHAH","PA",-0.7761973,0.0565507,"no hit"
"482","YWHAH","PE",-1.1368576,0.0079065,"no hit"
"483","NMT1","PA",-1.162087,0.0570214,"no hit"
"484","NMT1","PE",-1.7092048,0.0077993,"no hit"
"485","RP2","PA",0.6859755,0.0590441,"no hit"
"486","RP2","PE",0.4805714,0.1751859,"no hit"
"487","CIB1","PA",0.4424269,0.0602315,"no hit"
"488","CIB1","PE",0.076756,0.732177,"no hit"
"489","TRIM28","PA",0.6867347,0.0605151,"no hit"
"490","TRIM28","PE",0.7648885,0.0386461,"enriched candidate"
"491","MSLN","PA",0.5925356,0.0607018,"no hit"
"492","MSLN","PE",0.415097,0.1781403,"no hit"
"493","NECTIN2","PA",0.4771873,0.0613481,"no hit"
"494","NECTIN2","PE",0.2047078,0.4035085,"no hit"
"495","AKR1B1","PA",-0.7648907,0.0617305,"no hit"
"496","AKR1B1","PE",-0.9349887,0.02546,"no hit"
"497","SLC25A3","PA",0.8302348,0.0623183,"no hit"
"498","SLC25A3","PE",1.5530089,0.0015558,"enriched hit"
"499","ADAM10","PA",0.4694021,0.0627386,"no hit"
"500","ADAM10","PE",0.7025148,0.0081764,"enriched candidate"
"501","TPD52L2","PA",-0.7235519,0.0629491,"no hit"
"502","TPD52L2","PE",-1.0737492,0.008683,"no hit"
"503","GTF2I","PA",0.7782688,0.0631256,"no hit"
"504","GTF2I","PE",1.0808547,0.0131048,"enriched candidate"
"505","PPIF","PA",0.9239184,0.0645972,"no hit"
"506","PPIF","PE",1.6091492,0.0029664,"enriched hit"
"507","HMOX2","PA",0.482978,0.0668045,"no hit"
"508","HMOX2","PE",0.5548688,0.0378085,"no hit"
"509","GOLT1B","PA",-0.5355459,0.0676244,"no hit"
"510","GOLT1B","PE",-0.5745379,0.0514464,"no hit"
"511","PARK7","PA",-0.7473461,0.0691631,"no hit"
"512","PARK7","PE",-0.8083441,0.0510112,"no hit"
"513","ACO2","PA",0.6691561,0.0696929,"no hit"
"514","ACO2","PE",1.0844205,0.0058022,"enriched hit"
"515","YWHAG","PA",-0.4642422,0.0697281,"no hit"
"516","YWHAG","PE",-0.8470333,0.002427,"no hit"
"517","ETFA","PA",0.7791291,0.0700165,"no hit"
"518","ETFA","PE",1.173119,0.0094913,"enriched candidate"
"519","WDR1","PA",1.1206443,0.0702509,"no hit"
"520","WDR1","PE",1.1555536,0.0626577,"enriched candidate"
"521","SHMT2","PA",1.1096423,0.071513,"no hit"
"522","SHMT2","PE",1.8917486,0.0042664,"enriched hit"
"523","GNG5","PA",0.5357813,0.0717179,"no hit"
"524","GNG5","PE",0.3309812,0.252744,"no hit"
"525","AP1B1","PA",-0.4693235,0.0726385,"no hit"
"526","AP1B1","PE",-0.8364574,0.0031716,"no hit"
"527","RAB31","PA",0.475915,0.0729057,"no hit"
"528","RAB31","PE",0.6653932,0.0157856,"enriched candidate"
"529","RBBP4","PA",0.542319,0.0732154,"no hit"
"530","RBBP4","PE",0.2505057,0.3913247,"no hit"
"531","ATP1A1","PA",0.568779,0.0735322,"no hit"
"532","ATP1A1","PE",0.8566751,0.0103066,"enriched candidate"
"533","SDHA","PA",0.9086139,0.0736665,"no hit"
"534","SDHA","PE",1.6885254,0.002367,"enriched hit"
"535","POR","PA",0.6752719,0.0747595,"no hit"
"536","POR","PE",1.2822349,0.0020604,"enriched hit"
"537","EIF5A","PA",-1.3670257,0.0755064,"no hit"
"538","EIF5A","PE",-1.6858074,0.0318463,"no hit"
"539","LIFR","PA",0.4648637,0.0757462,"no hit"
"540","LIFR","PE",0.4255133,0.1016881,"no hit"
"541","MME","PA",-0.4869324,0.0762257,"no hit"
"542","MME","PE",-0.9887385,0.0012362,"no hit"
"543","ITGA5","PA",0.6907537,0.0768046,"no hit"
"544","ITGA5","PE",0.6910638,0.0766832,"enriched candidate"
"545","SFXN1","PA",0.8439585,0.0772622,"no hit"
"546","SFXN1","PE",1.3278179,0.0085487,"enriched hit"
"547","PPA1","PA",-0.9022483,0.077474,"no hit"
"548","PPA1","PE",-1.0180095,0.0488178,"no hit"
"549","RAP2C","PA",0.4012618,0.077979,"no hit"
"550","RAP2C","PE",0.4555885,0.0479289,"no hit"
"551","GLO1","PA",-0.9432437,0.0804913,"no hit"
"552","GLO1","PE",-1.2287457,0.0266674,"no hit"
"553","PA2G4","PA",-1.0323648,0.0813144,"no hit"
"554","PA2G4","PE",-1.358083,0.0257705,"no hit"
"555","DSG2","PA",0.5092099,0.0815305,"no hit"
"556","DSG2","PE",0.5182017,0.0767096,"no hit"
"557","LAMC1","PA",0.5137819,0.0816605,"no hit"
"558","LAMC1","PE",0.2155576,0.4493452,"no hit"
"559","GSTM3","PA",-0.7007375,0.0820878,"no hit"
"560","GSTM3","PE",-0.4917216,0.2127673,"no hit"
"561","GOT2","PA",0.8470544,0.0823144,"no hit"
"562","GOT2","PE",1.514231,0.0040398,"enriched hit"
"563","SLC43A3","PA",0.5485201,0.0826897,"no hit"
"564","SLC43A3","PE",0.0663466,0.8267207,"no hit"
"565","OXCT1","PA",0.659515,0.083171,"no hit"
"566","OXCT1","PE",1.3439306,0.0014839,"enriched hit"
"567","CS","PA",1.4016306,0.0834149,"no hit"
"568","CS","PE",2.2800407,0.0079509,"enriched hit"
"569","PRDX1","PA",-0.8641678,0.0842449,"no hit"
"570","PRDX1","PE",-1.0643709,0.0370733,"no hit"
"571","USP14","PA",-0.602144,0.0850444,"no hit"
"572","USP14","PE",-0.7050309,0.0468237,"no hit"
"573","RMDN1","PA",0.7151034,0.08528,"no hit"
"574","RMDN1","PE",1.2567316,0.0049203,"enriched hit"
"575","PGK1","PA",-0.7322022,0.0870973,"no hit"
"576","PGK1","PE",-0.8622865,0.0470823,"no hit"
"577","BUB3","PA",-0.4248345,0.0872845,"no hit"
"578","BUB3","PE",-0.3829254,0.1205178,"no hit"
"579","HSP90B1","PA",0.8768021,0.0874302,"no hit"
"580","HSP90B1","PE",1.3699159,0.0111871,"enriched candidate"
"581","UBXN4","PA",0.5163635,0.0887183,"no hit"
"582","UBXN4","PE",0.6651792,0.0323534,"enriched candidate"
"583","CAPZA1","PA",-0.5595352,0.088927,"no hit"
"584","CAPZA1","PE",-0.3641191,0.2573339,"no hit"
"585","ACSL3","PA",1.0994523,0.0890577,"no hit"
"586","ACSL3","PE",1.4123138,0.0329646,"enriched candidate"
"587","SLC44A2","PA",0.8047551,0.0904399,"no hit"
"588","SLC44A2","PE",0.7306552,0.1217162,"no hit"
"589","PEBP1","PA",-1.0342547,0.0915596,"no hit"
"590","PEBP1","PE",-1.3508123,0.0317146,"no hit"
"591","TRMT10C","PA",0.7804957,0.0921464,"no hit"
"592","TRMT10C","PE",1.3265029,0.0072551,"enriched hit"
"593","NEGR1","PA",0.3925125,0.0943592,"no hit"
"594","NEGR1","PE",0.2330619,0.3084358,"no hit"
"595","MLEC","PA",0.5586669,0.0946951,"no hit"
"596","MLEC","PE",0.9309872,0.0087084,"enriched candidate"
"597","QARS","PA",0.3944565,0.0972788,"no hit"
"598","QARS","PE",0.2932767,0.2099295,"no hit"
"599","ENO1","PA",-0.6567392,0.0973372,"no hit"
"600","ENO1","PE",-0.5858189,0.1361995,"no hit"
"601","GDA","PA",-0.6464967,0.0986695,"no hit"
"602","GDA","PE",-0.6086386,0.1184982,"no hit"
"603","RPS28","PA",-0.6225026,0.0987896,"no hit"
"604","RPS28","PE",-0.9282649,0.0181941,"no hit"
"605","ARFGAP1","PA",-0.5605887,0.0993044,"no hit"
"606","ARFGAP1","PE",-0.9075345,0.01144,"no hit"
"607","ECI1","PA",0.8083904,0.1000294,"no hit"
"608","ECI1","PE",1.149963,0.0238445,"enriched candidate"
"609","DAG1","PA",0.6328029,0.1001741,"no hit"
"610","DAG1","PE",0.4841418,0.2015386,"no hit"
"611","F11R","PA",0.6703346,0.1011202,"no hit"
"612","F11R","PE",0.5786599,0.1531764,"no hit"
"613","TUFM","PA",1.1617206,0.1027527,"no hit"
"614","TUFM","PE",1.7057189,0.0211509,"enriched candidate"
"615","HSPA1B|HSPA1A","PA",-0.4351823,0.1032678,"no hit"
"616","HSPA1B|HSPA1A","PE",-0.1209898,0.6391645,"no hit"
"617","MAT2A","PA",-0.6444786,0.1032697,"no hit"
"618","MAT2A","PE",-0.728659,0.0681141,"no hit"
"619","SLC1A5","PA",0.4066043,0.1039616,"no hit"
"620","SLC1A5","PE",0.179562,0.4594581,"no hit"
"621","ALDH3A2","PA",0.7284483,0.104558,"no hit"
"622","ALDH3A2","PE",1.1699565,0.0132371,"enriched candidate"
"623","PRDX3","PA",1.1454577,0.1060583,"no hit"
"624","PRDX3","PE",1.5097689,0.0376813,"enriched candidate"
"625","CLINT1","PA",-1.0843148,0.1061654,"no hit"
"626","CLINT1","PE",-1.6696676,0.0173164,"no hit"
"627","CAPN2","PA",-0.4646363,0.1093045,"no hit"
"628","CAPN2","PE",-0.3366213,0.2381256,"no hit"
"629","CD59","PA",0.5405265,0.1099009,"no hit"
"630","CD59","PE",0.5149523,0.1265537,"no hit"
"631","ATL2","PA",0.5416945,0.1101676,"no hit"
"632","ATL2","PE",0.7326634,0.0354658,"enriched candidate"
"633","EIF3M","PA",-0.5956659,0.1116491,"no hit"
"634","EIF3M","PE",-0.7569095,0.0475652,"no hit"
"635","MYDGF","PA",0.64111,0.1119904,"no hit"
"636","MYDGF","PE",0.4473981,0.2588817,"no hit"
"637","CAPRIN1","PA",-1.1131676,0.113929,"no hit"
"638","CAPRIN1","PE",-1.8752007,0.0118013,"no hit"
"639","DLD","PA",0.9607469,0.1139656,"no hit"
"640","DLD","PE",1.4164378,0.0247059,"enriched candidate"
"641","RAN","PA",-0.3879245,0.1141586,"no hit"
"642","RAN","PE",-0.1126817,0.6355767,"no hit"
"643","GIGYF2","PA",-0.8588753,0.1155944,"no hit"
"644","GIGYF2","PE",-1.3041414,0.0217537,"no hit"
"645","DSP","PA",-0.7004315,0.1169136,"no hit"
"646","DSP","PE",-0.8915726,0.0503811,"no hit"
"647","LSS","PA",0.3643852,0.1178693,"no hit"
"648","LSS","PE",0.4395606,0.0630021,"no hit"
"649","CDH10","PA",0.5228095,0.1191043,"no hit"
"650","CDH10","PE",0.4905615,0.1420662,"no hit"
"651","SLC38A5","PA",0.5757868,0.1195638,"no hit"
"652","SLC38A5","PE",0.3688671,0.3091078,"no hit"
"653","USP10","PA",-0.7552357,0.1196238,"no hit"
"654","USP10","PE",-1.2279646,0.0159862,"no hit"
"655","MCAM","PA",0.7428621,0.1198088,"no hit"
"656","MCAM","PE",0.8024138,0.0946603,"no hit"
"657","MSN","PA",1.4877823,0.1198543,"no hit"
"658","MSN","PE",1.3495103,0.1558913,"no hit"
"659","TLN1","PA",0.4964995,0.1200941,"no hit"
"660","TLN1","PE",0.5474012,0.0887615,"no hit"
"661","ALG5","PA",0.6799184,0.120567,"no hit"
"662","ALG5","PE",1.0268735,0.0241057,"enriched candidate"
"663","SUPT16H","PA",0.3565489,0.1207534,"no hit"
"664","SUPT16H","PE",0.2253326,0.3171152,"no hit"
"665","CCT8","PA",0.5130406,0.121007,"no hit"
"666","CCT8","PE",0.1856713,0.5633561,"no hit"
"667","MMP15","PA",0.4099008,0.1213524,"no hit"
"668","MMP15","PE",0.2804082,0.2807919,"no hit"
"669","ADAM9","PA",0.4688802,0.1214535,"no hit"
"670","ADAM9","PE",0.5977875,0.0528125,"enriched candidate"
"671","TAPBP","PA",0.5379738,0.1215162,"no hit"
"672","TAPBP","PE",1.0205991,0.0063619,"enriched hit"
"673","BZW2","PA",-0.5642821,0.1219288,"no hit"
"674","BZW2","PE",-0.3594154,0.3150239,"no hit"
"675","DDOST","PA",0.587256,0.122585,"no hit"
"676","DDOST","PE",0.8253849,0.0351435,"enriched candidate"
"677","EPB41L2","PA",0.9540247,0.1226985,"no hit"
"678","EPB41L2","PE",0.9189382,0.1361664,"no hit"
"679","SUCLG2","PA",0.8475886,0.1232421,"no hit"
"680","SUCLG2","PE",1.2854421,0.0245393,"enriched candidate"
"681","LRPPRC","PA",0.8803241,0.1235478,"no hit"
"682","LRPPRC","PE",1.4431776,0.0162604,"enriched candidate"
"683","G3BP2","PA",-1.3005146,0.1238397,"no hit"
"684","G3BP2","PE",-1.7375196,0.0447151,"no hit"
"685","RPN1","PA",0.9055281,0.1245692,"no hit"
"686","RPN1","PE",1.2928639,0.0335417,"enriched candidate"
"687","RAB8A","PA",0.3653774,0.1251734,"no hit"
"688","RAB8A","PE",0.3123164,0.1861486,"no hit"
"689","C17orf75","PA",-0.3864451,0.1263078,"no hit"
"690","C17orf75","PE",-0.4159497,0.1015336,"no hit"
"691","HNRNPA2B1","PA",-0.5177406,0.1267995,"no hit"
"692","HNRNPA2B1","PE",-0.4120945,0.2188629,"no hit"
"693","CAPZB","PA",-0.4487241,0.1270582,"no hit"
"694","CAPZB","PE",-0.2896496,0.3155881,"no hit"
"695","HSD17B10","PA",0.6434498,0.1279775,"no hit"
"696","HSD17B10","PE",0.9512938,0.0297473,"enriched candidate"
"697","FLOT2","PA",0.716083,0.1282138,"no hit"
"698","FLOT2","PE",0.7804755,0.0992654,"no hit"
"699","VDAC2","PA",0.6761461,0.1286019,"no hit"
"700","VDAC2","PE",0.7611357,0.0897448,"no hit"
"701","SLIRP","PA",0.8045309,0.1291731,"no hit"
"702","SLIRP","PE",1.490946,0.0085609,"enriched hit"
"703","ANXA3","PA",-0.6137583,0.1298005,"no hit"
"704","ANXA3","PE",-0.833847,0.0447137,"no hit"
"705","STT3A","PA",0.5832009,0.130501,"no hit"
"706","STT3A","PE",1.0951797,0.0080497,"enriched hit"
"707","COX5A","PA",0.6865719,0.1308077,"no hit"
"708","COX5A","PE",1.0359832,0.027985,"enriched candidate"
"709","CD320","PA",0.3318795,0.1317788,"no hit"
"710","CD320","PE",0.5271437,0.0218707,"no hit"
"711","EIF4A1","PA",-1.0769287,0.1320805,"no hit"
"712","EIF4A1","PE",-1.492122,0.0422135,"no hit"
"713","HSPA5","PA",0.7608667,0.1340677,"no hit"
"714","HSPA5","PE",1.0473646,0.044453,"enriched candidate"
"715","ARL15","PA",0.4211931,0.134865,"no hit"
"716","ARL15","PE",0.4453741,0.1151489,"no hit"
"717","FAM234A","PA",0.4876238,0.1354343,"no hit"
"718","FAM234A","PE",0.1647107,0.604106,"no hit"
"719","SGTA","PA",-0.6912632,0.1355253,"no hit"
"720","SGTA","PE",-1.094996,0.0233942,"no hit"
"721","ACTR3","PA",0.7209652,0.1361174,"no hit"
"722","ACTR3","PE",0.7582484,0.1181581,"no hit"
"723","GPX8","PA",0.7813264,0.1384419,"no hit"
"724","GPX8","PE",0.8794929,0.097955,"no hit"
"725","NSDHL","PA",0.610431,0.1396551,"no hit"
"726","NSDHL","PE",0.9967437,0.0211687,"enriched candidate"
"727","SAE1","PA",-0.6869693,0.1399645,"no hit"
"728","SAE1","PE",-0.9734499,0.0420202,"no hit"
"729","TPI1","PA",-0.8752863,0.14031,"no hit"
"730","TPI1","PE",-1.3146029,0.0324097,"no hit"
"731","GNB2","PA",0.9235087,0.1415669,"no hit"
"732","GNB2","PE",1.1148611,0.0798367,"no hit"
"733","PHB","PA",1.0004014,0.1415971,"no hit"
"734","PHB","PE",1.5166908,0.0315096,"enriched candidate"
"735","ALDOC","PA",-0.46236,0.1417159,"no hit"
"736","ALDOC","PE",-0.3477376,0.2629377,"no hit"
"737","DNPH1","PA",-0.5491632,0.1432261,"no hit"
"738","DNPH1","PE",-0.8279897,0.0330101,"no hit"
"739","BSG","PA",0.7674527,0.1432631,"no hit"
"740","BSG","PE",0.5553078,0.2827719,"no hit"
"741","NUDT21","PA",0.3128488,0.1436832,"no hit"
"742","NUDT21","PE",0.4548815,0.0391836,"no hit"
"743","CNOT1","PA",-0.977367,0.1438879,"no hit"
"744","CNOT1","PE",-1.1739267,0.0829808,"no hit"
"745","EZR","PA",1.2053525,0.1447796,"no hit"
"746","EZR","PE",0.9549854,0.2428373,"no hit"
"747","RPS12","PA",-0.5167728,0.1453146,"no hit"
"748","RPS12","PE",-0.8568059,0.021143,"no hit"
"749","ERP29","PA",0.8413553,0.1453974,"no hit"
"750","ERP29","PE",1.0042259,0.0859217,"no hit"
"751","RHOA","PA",0.3476848,0.145595,"no hit"
"752","RHOA","PE",0.1425033,0.5409533,"no hit"
"753","FLOT1","PA",0.7270289,0.1458074,"no hit"
"754","FLOT1","PE",0.7289149,0.1448243,"no hit"
"755","KDELC2","PA",0.4823694,0.1460138,"no hit"
"756","KDELC2","PE",0.50897,0.1262608,"no hit"
"757","GCN1","PA",-1.0153633,0.1481564,"no hit"
"758","GCN1","PE",-1.3456809,0.0604547,"no hit"
"759","STX6","PA",-0.3582669,0.1487628,"no hit"
"760","STX6","PE",-0.5070005,0.0466926,"no hit"
"761","GSS","PA",-0.5830147,0.1490047,"no hit"
"762","GSS","PE",-0.7431179,0.0705628,"no hit"
"763","RPS10","PA",-1.0015419,0.1493796,"no hit"
"764","RPS10","PE",-1.6051252,0.0265737,"no hit"
"765","CPM","PA",0.6025927,0.1507395,"no hit"
"766","CPM","PE",0.6217837,0.1388656,"no hit"
"767","NAA15","PA",-1.1184321,0.1511476,"no hit"
"768","NAA15","PE",-1.2229087,0.1184855,"no hit"
"769","SBDS","PA",-0.6783491,0.1515137,"no hit"
"770","SBDS","PE",-0.9443653,0.0514816,"no hit"
"771","DKFZp566H1924|NPTN","PA",0.7993142,0.1515462,"no hit"
"772","DKFZp566H1924|NPTN","PE",0.6960397,0.2086499,"no hit"
"773","CNP","PA",1.0902907,0.1517786,"no hit"
"774","CNP","PE",0.9573946,0.2052775,"no hit"
"775","PLOD3","PA",0.7053834,0.1517808,"no hit"
"776","PLOD3","PE",0.7502766,0.128765,"no hit"
"777","SYNGR2","PA",-0.5886332,0.1522276,"no hit"
"778","SYNGR2","PE",-0.7269089,0.081305,"no hit"
"779","TUBB","PA",-0.6155474,0.1551852,"no hit"
"780","TUBB","PE",-0.768917,0.0802265,"no hit"
"781","HSPD1","PA",0.9014326,0.1561475,"no hit"
"782","HSPD1","PE",1.912191,0.0056146,"enriched hit"
"783","TPP2","PA",0.814883,0.156263,"no hit"
"784","TPP2","PE",0.9129634,0.1146645,"no hit"
"785","PSME2","PA",-0.6709449,0.1574189,"no hit"
"786","PSME2","PE",-0.7246149,0.1284819,"no hit"
"787","TMEM43","PA",0.3461815,0.1575705,"no hit"
"788","TMEM43","PE",0.6961019,0.0082253,"enriched candidate"
"789","FOLR1","PA",0.7011765,0.1580814,"no hit"
"790","FOLR1","PE",0.5161595,0.2926925,"no hit"
"791","MDH1","PA",-0.5272863,0.1583154,"no hit"
"792","MDH1","PE",-0.7207143,0.0593683,"no hit"
"793","PMPCB","PA",0.6668214,0.1590304,"no hit"
"794","PMPCB","PE",1.0407801,0.0340044,"enriched candidate"
"795","COLGALT1","PA",0.8325576,0.1591766,"no hit"
"796","COLGALT1","PE",0.9915497,0.0972406,"no hit"
"797","ARPC3","PA",0.3714443,0.1598194,"no hit"
"798","ARPC3","PE",0.3898731,0.141171,"no hit"
"799","ATP5H","PA",0.8068191,0.1600204,"no hit"
"800","ATP5H","PE",1.3281275,0.0266435,"enriched candidate"
"801","LGALS1","PA",0.4184166,0.160468,"no hit"
"802","LGALS1","PE",0.377091,0.2036356,"no hit"
"803","RTN4RL2","PA",0.4518794,0.1605016,"no hit"
"804","RTN4RL2","PE",0.1716733,0.585125,"no hit"
"805","CAPZA2","PA",-0.3140864,0.1619901,"no hit"
"806","CAPZA2","PE",-0.2204797,0.31965,"no hit"
"807","TPM3|DKFZp686J1372","PA",0.6399644,0.162359,"no hit"
"808","TPM3|DKFZp686J1372","PE",0.7849955,0.090711,"no hit"
"809","FAM120A","PA",-0.6677745,0.1667286,"no hit"
"810","FAM120A","PE",-1.000394,0.044513,"no hit"
"811","ATP11C","PA",0.3302766,0.1685136,"no hit"
"812","ATP11C","PE",0.3856727,0.1110997,"no hit"
"813","CNPY3","PA",0.433502,0.1691744,"no hit"
"814","CNPY3","PE",0.3995845,0.2033025,"no hit"
"815","PSME1","PA",-0.8286533,0.1701342,"no hit"
"816","PSME1","PE",-1.0987392,0.0742297,"no hit"
"817","EIF5B","PA",-0.9652211,0.1713992,"no hit"
"818","EIF5B","PE",-1.4702232,0.0435545,"no hit"
"819","DSTN","PA",0.4122759,0.1724723,"no hit"
"820","DSTN","PE",0.4583294,0.1316024,"no hit"
"821","ATP5B","PA",0.6481431,0.1725493,"no hit"
"822","ATP5B","PE",0.9215067,0.0584757,"enriched candidate"
"823","TXNL1","PA",-0.5509991,0.1734693,"no hit"
"824","TXNL1","PE",-0.843984,0.043459,"no hit"
"825","PRDX2","PA",-0.7865315,0.175715,"no hit"
"826","PRDX2","PE",-1.1430588,0.0552915,"no hit"
"827","HSPA13","PA",0.4182579,0.1760926,"no hit"
"828","HSPA13","PE",0.6785729,0.0345871,"enriched candidate"
"829","SERPINH1","PA",0.9489722,0.1769333,"no hit"
"830","SERPINH1","PE",1.1811706,0.0972135,"no hit"
"831","AHCY","PA",-0.3680976,0.1802514,"no hit"
"832","AHCY","PE",-0.1397386,0.6032224,"no hit"
"833","WDR61","PA",-0.534753,0.1806211,"no hit"
"834","WDR61","PE",-0.8538863,0.0390773,"no hit"
"835","DYNC1H1","PA",-0.9744223,0.1809552,"no hit"
"836","DYNC1H1","PE",-1.1785718,0.1095142,"no hit"
"837","PHB2","PA",1.0352517,0.1812454,"no hit"
"838","PHB2","PE",1.5160953,0.056563,"enriched candidate"
"839","CAT","PA",0.5579615,0.18141,"no hit"
"840","CAT","PE",0.9047239,0.0367822,"enriched candidate"
"841","EIF3K","PA",-0.3610334,0.181426,"no hit"
"842","EIF3K","PE",-0.8200624,0.0053934,"no hit"
"843","PRKAR2A","PA",-0.2634099,0.1821578,"no hit"
"844","PRKAR2A","PE",-0.4239554,0.0383458,"no hit"
"845","RPL38","PA",-1.3763703,0.1822352,"no hit"
"846","RPL38","PE",-1.1037475,0.2805586,"no hit"
"847","ACSL4","PA",0.9251326,0.1822896,"no hit"
"848","ACSL4","PE",0.7330185,0.2862276,"no hit"
"849","NPR3","PA",0.3784486,0.18241,"no hit"
"850","NPR3","PE",0.4070312,0.1530885,"no hit"
"851","HLA-C","PA",0.3664717,0.1843322,"no hit"
"852","HLA-C","PE",0.1795401,0.5075474,"no hit"
"853","LARP4","PA",-0.8570415,0.1843746,"no hit"
"854","LARP4","PE",-1.3631832,0.0413741,"no hit"
"855","XPO1","PA",-0.4884276,0.184972,"no hit"
"856","XPO1","PE",-0.1528032,0.6715277,"no hit"
"857","PRMT1","PA",-0.4148341,0.1861481,"no hit"
"858","PRMT1","PE",-0.7798299,0.0186331,"no hit"
"859","ITGA3","PA",0.4757438,0.1862523,"no hit"
"860","ITGA3","PE",0.3885013,0.2765854,"no hit"
"861","RACGAP1","PA",1.2548032,0.1863014,"no hit"
"862","RACGAP1","PE",1.0570651,0.2622452,"no hit"
"863","RPLP1","PA",-0.6976493,0.1880194,"no hit"
"864","RPLP1","PE",-0.9099714,0.0910683,"no hit"
"865","MYO1B","PA",1.0768574,0.1884016,"no hit"
"866","MYO1B","PE",1.1413346,0.1645073,"no hit"
"867","SLC35B2","PA",-0.4295009,0.1891595,"no hit"
"868","SLC35B2","PE",-0.2921223,0.3656743,"no hit"
"869","HSPA8","PA",-0.3693488,0.1905722,"no hit"
"870","HSPA8","PE",-0.2270991,0.4140493,"no hit"
"871","PSMA2","PA",-0.3567348,0.1908187,"no hit"
"872","PSMA2","PE",-0.2878853,0.2871562,"no hit"
"873","AP2A1","PA",0.4433187,0.1915044,"no hit"
"874","AP2A1","PE",0.2973237,0.3748292,"no hit"
"875","TOR1AIP2","PA",0.4197331,0.1921655,"no hit"
"876","TOR1AIP2","PE",0.3163467,0.3207269,"no hit"
"877","ACTN1","PA",0.9289429,0.1938871,"no hit"
"878","ACTN1","PE",1.1353098,0.116355,"no hit"
"879","PGRMC1","PA",0.4523851,0.1948146,"no hit"
"880","PGRMC1","PE",0.5333885,0.129705,"no hit"
"881","ACTN4","PA",1.2041321,0.1955819,"no hit"
"882","ACTN4","PE",1.3633746,0.1453544,"no hit"
"883","PABPC4","PA",-0.6944954,0.1959278,"no hit"
"884","PABPC4","PE",-1.1678814,0.036456,"no hit"
"885","G3BP1","PA",-0.9409152,0.1964417,"no hit"
"886","G3BP1","PE",-1.525069,0.043159,"no hit"
"887","ADRM1","PA",-0.5774512,0.1966368,"no hit"
"888","ADRM1","PE",-0.7601194,0.0944389,"no hit"
"889","P4HA1","PA",0.4905861,0.1977732,"no hit"
"890","P4HA1","PE",0.7315302,0.0614149,"enriched candidate"
"891","CMPK1","PA",-0.5004241,0.1978787,"no hit"
"892","CMPK1","PE",-0.7324657,0.0659533,"no hit"
"893","HPRT1","PA",-0.6949907,0.1993951,"no hit"
"894","HPRT1","PE",-0.5934223,0.2702627,"no hit"
"895","GRB2","PA",-0.5558618,0.200744,"no hit"
"896","GRB2","PE",-0.6632522,0.1304002,"no hit"
"897","SLC6A9","PA",0.3530572,0.2012579,"no hit"
"898","SLC6A9","PE",0.0430949,0.8732198,"no hit"
"899","NASP","PA",-0.5373574,0.2024011,"no hit"
"900","NASP","PE",-0.8833073,0.043124,"no hit"
