gene_name,protein_id,LipidProbe,hit_annotation,logFC,pvalue,AveExpr,fdr
SCFD1,Q8WVM8,1-10 FA,no hit,0.277815628,0.047091782,23.78101914,0.113361668
FAT1,A0A087WVP1|Q14517,1-10 FA,no hit,0.22080868,0.047992672,24.29099943,0.115284525
CENPF,P49454,1-10 FA,no hit,0.344862217,0.049023509,27.02040585,0.117331215
GNAS,P63092|P63092-4|Q5JWF2|Q5JWF2-2,1-10 FA,enriched candidate,0.823593221,0.049052554,24.15486316,0.117331215
RPS8,P62241|Q5JR95,1-10 FA,no hit,-0.307208861,0.049174437,24.05617666,0.117374078
NAT10,A0A087WV29|Q9H0A0|Q9H0A0-2,1-10 FA,no hit,0.347842291,0.049287801,25.93784474,0.117396472
SDAD1,Q9NVU7|Q9NVU7-2,1-10 FA,no hit,0.338595431,0.049450395,22.83948861,0.117535781
EIF5,P55010,1-10 FA,no hit,-0.429736716,0.049704749,23.55849817,0.117688333
SQSTM1,Q13501,1-10 FA,no hit,0.241405794,0.04972306,23.311982,0.117688333
AKR1B1,P15121,1-10 FA,no hit,-0.862684962,0.050317443,26.83222909,0.118846012
CAP1,Q01518|Q01518-2,1-10 FA,no hit,-0.366618942,0.050641788,24.37894752,0.119362377
PPP3CA,Q08209-2|Q08209-3,1-10 FA,no hit,-0.366509137,0.050835631,23.8414358,0.119412386
PPL,K7EKI8|O60437,1-10 FA,no hit,0.33664615,0.050874542,23.41096923,0.119412386
GNS,F6S8M0|H7C3P4|P15586|P15586-2,1-10 FA,no hit,0.256847776,0.051146008,22.61354689,0.119800503
PPP1CC,F8VYE8|P36873|P36873-2,1-10 FA,no hit,0.26731452,0.051777114,23.49793012,0.121027664
HECTD1,A0A087X2H1|Q9ULT8,1-10 FA,no hit,-0.261317332,0.051927952,24.19212482,0.121129459
GRB2,J3KT38|P62993,1-10 FA,no hit,-0.442859286,0.052935739,24.383088,0.122765134
YWHAB,P31946|P31946-2,1-10 FA,no hit,-0.558711411,0.052985098,24.79095125,0.122765134
UBE2N,P61088,1-10 FA,no hit,-0.382114247,0.053111726,23.35396739,0.122765134
ETFB,P38117|P38117-2,1-10 FA,no hit,0.205251589,0.053236046,24.91281617,0.122765134
PHLDB2,E9PGF6|Q86SQ0,1-10 FA,no hit,0.381412298,0.053263383,24.77215156,0.122765134
