"","LipidProbe","gene_name","hit_annotation","logFC","pvalue","fdr"
"88","PA","UBE2M","no hit",-1.2063453,0.009234,"Data not available"
"89","PA","PRDX6","no hit",-1.1222757,0.0094776,"Data not available"
"90","PA","SRPRB","enriched candidate",1.3048445,0.0096783,"Data not available"
"91","PA","CD55","enriched candidate",0.7103563,0.0097561,"Data not available"
"92","PA","GNA11","enriched candidate",0.6994555,0.0104753,"Data not available"
"93","PA","PHGDH","no hit",-0.8681374,0.0107426,"Data not available"
"94","PA","EIF4G2","no hit",-0.9535521,0.0107689,"Data not available"
"95","PA","PGM1","no hit",-1.1487993,0.0109453,"Data not available"
"96","PA","S100A4","no hit",-1.1564389,0.0114301,"Data not available"
"97","PA","DPP3","no hit",-1.0717803,0.0115417,"Data not available"
"98","PA","RABGGTB","no hit",-1.1020058,0.0115516,"Data not available"
"99","PA","API5","no hit",-0.8858819,0.011838,"Data not available"
"100","PA","PPIB","enriched candidate",0.805446,0.0118508,"Data not available"
"101","PA","CANX","enriched candidate",0.7625202,0.0118849,"Data not available"
"102","PA","YWHAZ","no hit",-0.879541,0.0120203,"Data not available"
"103","PA","SFN","no hit",-1.0509365,0.0121962,"Data not available"
"104","PA","NARS","no hit",-1.0583062,0.0125384,"Data not available"
"105","PA","IPO7","no hit",-1.0332833,0.0125476,"Data not available"
"106","PA","CRTAP","enriched candidate",0.7743448,0.0128594,"Data not available"
"107","PA","PRRC1","no hit",-0.8420595,0.0128906,"Data not available"
"108","PA","GNAQ","enriched candidate",0.6864202,0.0130591,"Data not available"
"109","PA","TAGLN2","no hit",-0.8251559,0.0133704,"Data not available"
"110","PA","SRM","no hit",-0.9561359,0.0133937,"Data not available"
"111","PA","LTA4H","no hit",-1.0575724,0.0136723,"Data not available"
"112","PA","HARS","no hit",-0.8074889,0.0137303,"Data not available"
"113","PA","CAND1","no hit",-0.9088526,0.0137839,"Data not available"
"114","PA","FDPS","no hit",-1.0565812,0.0138986,"Data not available"
"115","PA","GSTK1","enriched candidate",0.9017188,0.0139953,"Data not available"
"116","PA","ETFB","enriched candidate",1.0624366,0.0140953,"Data not available"
"117","PA","LY6K","enriched candidate",0.8385584,0.0142151,"Data not available"
"118","PA","NOMO1|NOMO3|NOMO2","enriched candidate",0.9539389,0.0146567,"Data not available"
"119","PA","BASP1","enriched candidate",1.9995488,0.0148356,"Data not available"
"120","PA","PRKCSH","enriched candidate",0.6993345,0.0151703,"Data not available"
"121","PA","GANAB","enriched candidate",0.7327816,0.0155799,"Data not available"
"122","PA","COX4I1","enriched candidate",0.9876078,0.0165074,"Data not available"
"123","PA","EIF4B","no hit",-1.6765027,0.0166077,"Data not available"
"124","PA","PLS3","enriched candidate",0.692714,0.016647,"Data not available"
